port,year,month,throuput,y,t,X2,X3,X4,X5,X6,X7,X8,X9
1,2003,1,160554,160.554,1,0.5000,0.5000,0.8660,0.8660,0.8660,0.8660,0.5000,0.5000
1,2003,2,128754,128.754,2,0.8660,1.7321,0.5000,1.0000,0.8660,1.7321,-0.5000,-1.0000
1,2003,3,174986,174.986,3,1.0000,3.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,-3.0000
1,2003,4,168483,168.483,4,0.8660,3.4641,-0.5000,-2.0000,-0.8660,-3.4641,-0.5000,-2.0000
1,2003,5,169200,169.200,5,0.5000,2.5000,-0.8660,-4.3301,-0.8660,-4.3301,0.5000,2.5000
1,2003,6,167687,167.687,6,0.0000,0.0000,-1.0000,-6.0000,0.0000,0.0000,1.0000,6.0000
1,2003,7,168040,168.040,7,-0.5000,-3.5000,-0.8660,-6.0622,0.8660,6.0622,0.5000,3.5000
1,2003,8,161342,161.342,8,-0.8660,-6.9282,-0.5000,-4.0000,0.8660,6.9282,-0.5000,-4.0000
1,2003,9,166411,166.411,9,-1.0000,-9.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,-9.0000
1,2003,10,179179,179.179,10,-0.8660,-8.6603,0.5000,5.0000,-0.8660,-8.6603,-0.5000,-5.0000
1,2003,11,174206,174.206,11,-0.5000,-5.5000,0.8660,9.5263,-0.8660,-9.5263,0.5000,5.5000
1,2003,12,181866,181.866,12,0.0000,0.0000,1.0000,12.0000,0.0000,0.0000,1.0000,12.0000
1,2004,1,151207,151.207,13,0.5000,6.5000,0.8660,11.2583,0.8660,11.2583,0.5000,6.5000
1,2004,2,157977,157.977,14,0.8660,12.1244,0.5000,7.0000,0.8660,12.1244,-0.5000,-7.0000
1,2004,3,180575,180.575,15,1.0000,15.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,-15.0000
1,2004,4,180160,180.160,16,0.8660,13.8564,-0.5000,-8.0000,-0.8660,-13.8564,-0.5000,-8.0000
1,2004,5,187086,187.086,17,0.5000,8.5000,-0.8660,-14.7224,-0.8660,-14.7224,0.5000,8.5000
1,2004,6,181932,181.932,18,0.0000,0.0000,-1.0000,-18.0000,0.0000,0.0000,1.0000,18.0000
1,2004,7,178173,178.173,19,-0.5000,-9.5000,-0.8660,-16.4545,0.8660,16.4545,0.5000,9.5000
1,2004,8,162251,162.251,20,-0.8660,-17.3205,-0.5000,-10.0000,0.8660,17.3205,-0.5000,-10.0000
1,2004,9,168189,168.189,21,-1.0000,-21.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,-21.0000
1,2004,10,175916,175.916,22,-0.8660,-19.0526,0.5000,11.0000,-0.8660,-19.0526,-0.5000,-11.0000
1,2004,11,176444,176.444,23,-0.5000,-11.5000,0.8660,19.9186,-0.8660,-19.9186,0.5000,11.5000
1,2004,12,170283,170.283,24,0.0000,0.0000,1.0000,24.0000,0.0000,0.0000,1.0000,24.0000
1,2005,1,183445,183.445,25,0.5000,12.5000,0.8660,21.6506,0.8660,21.6506,0.5000,12.5000
1,2005,2,120651,120.651,26,0.8660,22.5167,0.5000,13.0000,0.8660,22.5167,-0.5000,-13.0000
1,2005,3,177443,177.443,27,1.0000,27.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,-27.0000
1,2005,4,177871,177.871,28,0.8660,24.2487,-0.5000,-14.0000,-0.8660,-24.2487,-0.5000,-14.0000
1,2005,5,181862,181.862,29,0.5000,14.5000,-0.8660,-25.1147,-0.8660,-25.1147,0.5000,14.5000
1,2005,6,181588,181.588,30,0.0000,0.0000,-1.0000,-30.0000,0.0000,0.0000,1.0000,30.0000
1,2005,7,168313,168.313,31,-0.5000,-15.5000,-0.8660,-26.8468,0.8660,26.8468,0.5000,15.5000
1,2005,8,171906,171.906,32,-0.8660,-27.7128,-0.5000,-16.0000,0.8660,27.7128,-0.5000,-16.0000
1,2005,9,171183,171.183,33,-1.0000,-33.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,-33.0000
1,2005,10,187184,187.184,34,-0.8660,-29.4449,0.5000,17.0000,-0.8660,-29.4449,-0.5000,-17.0000
1,2005,11,181890,181.890,35,-0.5000,-17.5000,0.8660,30.3109,-0.8660,-30.3109,0.5000,17.5000
1,2005,12,188122,188.122,36,0.0000,0.0000,1.0000,36.0000,0.0000,0.0000,1.0000,36.0000
1,2006,1,168202,168.202,37,0.5000,18.5000,0.8660,32.0429,0.8660,32.0429,0.5000,18.5000
1,2006,2,153663,153.663,38,0.8660,32.9090,0.5000,19.0000,0.8660,32.9090,-0.5000,-19.0000
1,2006,3,178491,178.491,39,1.0000,39.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,-39.0000
1,2006,4,184175,184.175,40,0.8660,34.6410,-0.5000,-20.0000,-0.8660,-34.6410,-0.5000,-20.0000
1,2006,5,180716,180.716,41,0.5000,20.5000,-0.8660,-35.5070,-0.8660,-35.5070,0.5000,20.5000
1,2006,6,176876,176.876,42,0.0000,0.0000,-1.0000,-42.0000,0.0000,0.0000,1.0000,42.0000
1,2006,7,174222,174.222,43,-0.5000,-21.5000,-0.8660,-37.2391,0.8660,37.2391,0.5000,21.5000
1,2006,8,178453,178.453,44,-0.8660,-38.1051,-0.5000,-22.0000,0.8660,38.1051,-0.5000,-22.0000
1,2006,9,182474,182.474,45,-1.0000,-45.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,-45.0000
1,2006,10,178900,178.900,46,-0.8660,-39.8372,0.5000,23.0000,-0.8660,-39.8372,-0.5000,-23.0000
1,2006,11,180107,180.107,47,-0.5000,-23.5000,0.8660,40.7032,-0.8660,-40.7032,0.5000,23.5000
1,2006,12,192539,192.539,48,0.0000,0.0000,1.0000,48.0000,0.0000,0.0000,1.0000,48.0000
2,2003,1,98051,980.510,1,0.5000,0.5000,0.8660,0.8660,0.8660,0.8660,0.5000,0.5000
2,2003,2,86017,860.170,2,0.8660,1.7321,0.5000,1.0000,0.8660,1.7321,-0.5000,-1.0000
2,2003,3,109078,1090.780,3,1.0000,3.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,-3.0000
